Date,BTC,BTC_VOL,SP_500
5/26/2019,8673,26677970091,3240
5/27/2019,8806,27949839563,3221
5/28/2019,8720,24226919266,3231
5/29/2019,8659,23473479966,3258
5/30/2019,8319,29246528551,3235
5/31/2019,8575,25365190957,3246
6/1/2019,8564,22488303543,3237
6/2/2019,8743,20266216022,3253
6/3/2019,8209,22004511436,3275
6/4/2019,7708,24609731548,3265
6/5/2019,7824,21760923463,3288
6/6/2019,7822,19474611077,3283
6/7/2019,8044,19141423230,3289
6/8/2019,7954,16522722809,3317
6/9/2019,7688,16610726547,3330
6/10/2019,8000,18689275117,3321
6/11/2019,7928,17107279931,3322
6/12/2019,8146,19034432883,3326
6/13/2019,8231,18669407147,3295
6/14/2019,8694,19831162905,3244
6/15/2019,8838,18371033226,3276
6/16/2019,8994,23348550310,3273
6/17/2019,9320,15562951918,3284
6/18/2019,9082,15848210535,3226
6/19/2019,9274,15546809946,3249
6/20/2019,9527,17846823783,3298
6/21/2019,10145,20624008643,3335
6/22/2019,10702,29995204860,3346
6/23/2019,10855,20998326501,3328
6/24/2019,11011,19271652364,3352
6/25/2019,11791,24879684533,3358
6/26/2019,13016,45105733173,3379
6/27/2019,11183,39977475222,3374
6/28/2019,12407,35087757765,3380
6/29/2019,11959,29923961127,3370
6/30/2019,10817,27256473494,3386
7/1/2019,10583,29378589324,3373
7/2/2019,10802,31015895222,3338
7/3/2019,11961,30796494293,3226
7/4/2019,11215,25920294033,3128
7/5/2019,10978,23838480210,3116
7/6/2019,11209,21092024306,2979
7/7/2019,11451,19369044276,2954
7/8/2019,12286,23482551458,3090
7/9/2019,12574,28167921522,3003
7/10/2019,12157,33627574244,3130
7/11/2019,11359,28595327690,3024
7/12/2019,11816,23534692796,2972
7/13/2019,11392,21042616383,2747
7/14/2019,10256,22486000001,2882
7/15/2019,10895,25384047206,2741
7/16/2019,9478,24151199069,2481
7/17/2019,9694,24569921548,2711
7/18/2019,10666,25187024648,2386
7/19/2019,10531,20727426309,2529
7/20/2019,10767,20206615154,2398
7/21/2019,10599,17130580467,2409
7/22/2019,10343,16334414913,2305
7/23/2019,9901,17851916994,2237
7/24/2019,9812,17398734321,2447
7/25/2019,9912,15821952090,2476
7/26/2019,9870,14495714483,2630
7/27/2019,9478,16817809536,2541
7/28/2019,9553,13738687092,2627
7/29/2019,9519,13791445323,2585
7/30/2019,9607,13829811132,2471
7/31/2019,10086,16631520647,2527
8/1/2019,10400,17165337857,2489
8/2/2019,10518,17489094081,2664
8/3/2019,10822,15352685060,2659
8/4/2019,10970,16530894786,2750
8/5/2019,11806,23875988832,2790
8/6/2019,11478,23635107659,2762
8/7/2019,11942,22194988641,2846
8/8/2019,11966,19481591729,2783
8/9/2019,11863,18339989959,2800
8/10/2019,11354,18125355447,2875
8/11/2019,11524,15774371517,2823
8/12/2019,11383,13647198229,2737
8/13/2019,10896,16681503536,2799
8/14/2019,10052,19990838299,2798
8/15/2019,10312,22899115082,2837
8/16/2019,10374,20228207096,2878
8/17/2019,10232,13778035685,2863
8/18/2019,10346,12999813869,2940
8/19/2019,10916,16038264603,2912
8/20/2019,10763,15053082175,2831
8/21/2019,10138,19473084767,2843
8/22/2019,10131,17097508856,2868
8/23/2019,10408,15627023886,2848
8/24/2019,10160,15451030650,2881
8/25/2019,10139,14153856609,2930
8/26/2019,10371,18438654079,2930
8/27/2019,10186,14762609502,2870
8/28/2019,9754,17603790323,2820
8/29/2019,9510,17045878500,2853
8/30/2019,9598,13595263986,2864
8/31/2019,9631,11454806419,2954
9/1/2019,9758,11445355859,2923
9/2/2019,10347,17248102293,2972
9/3/2019,10624,19384917988,2949
9/4/2019,10594,16742664768,2955
9/5/2019,10576,14551239507,2992
9/6/2019,10353,19536574782,3036
9/7/2019,10517,15307366476,3030
9/8/2019,10441,13670567492,3044
9/9/2019,10335,17595943367,3056
9/10/2019,10116,14906809639,3081
9/11/2019,10178,15428063426,3123
9/12/2019,10410,15323563925,3112
9/13/2019,10361,14109864674,3194
9/14/2019,10358,13468713124,3232
9/15/2019,10348,12043433567,3207
9/16/2019,10277,15160167778,3190
9/17/2019,10241,15304603363,3002
9/18/2019,10198,16169268880,3041
9/19/2019,10266,19937691247,3067
9/20/2019,10182,14734189639,3125
9/21/2019,10020,13425266806,3113
9/22/2019,10070,13199651698,3115
9/23/2019,9729,15144925408,3098
9/24/2019,8621,25002886688,3118
9/25/2019,8487,21744728352,3131
9/26/2019,8119,19258205289,3050
9/27/2019,8252,16408941155,3084
9/28/2019,8246,14141152736,3009
9/29/2019,8104,13034629108,3053
9/30/2019,8294,17115474183,3100
10/1/2019,8343,15305343412,3116
10/2/2019,8393,13125712442,3130
10/3/2019,8260,13668823409,3180
10/4/2019,8206,13139456229,3145
10/5/2019,8152,12200497197,3170
10/6/2019,7988,13160830305,3152
10/7/2019,8246,18009742607,3185
10/8/2019,8229,15592264032,3155
10/9/2019,8596,19384942333,3198
10/10/2019,8586,17618660671,3227
10/11/2019,8322,19604381101,3216
10/12/2019,8337,14532641604,3225
10/13/2019,8321,13808286058,3252
10/14/2019,8375,15151387859,3257
10/15/2019,8205,15220412631,3276
10/16/2019,8048,16071646995,3236
10/17/2019,8104,14313052244,3216
10/18/2019,7973,15651592610,3239
10/19/2019,7989,13797825640,3218
10/20/2019,8222,15504249442,3258
10/21/2019,8244,15868748865,3246
10/22/2019,8078,16803377856,3271
10/23/2019,7515,21942878957,3295
10/24/2019,7493,16268708848,3307
10/25/2019,8661,28705065488,3328
10/26/2019,9245,44496255608,3349
10/27/2019,9552,32593129500,3351
10/28/2019,9256,30948255331,3360
10/29/2019,9428,28426779937,3334
10/30/2019,9206,27706531577,3380
10/31/2019,9200,26583653946,3373
11/1/2019,9261,24324691031,9261
11/2/2019,9325,21242676385,9325
11/3/2019,9235,21132220847,9235
11/4/2019,9413,26170255634,9413
11/5/2019,9343,26198609047,9343
11/6/2019,9361,23133895764,9361
11/7/2019,9268,22700383838,9268
11/8/2019,8805,24333037836,8805
11/9/2019,8814,17578630605,8814
11/10/2019,9056,20587919881,9056
11/11/2019,8758,20265510765,8758
11/12/2019,8816,20309769107,8816
11/13/2019,8808,17545755404,8808
11/14/2019,8708,19084739974,8708
11/15/2019,8492,21796856471,8492
11/16/2019,8551,16495389808,8551
11/17/2019,8578,18668638896,8578
11/18/2019,8309,21579470673,8309
11/19/2019,8206,21083613815,8206
11/20/2019,8027,20764300436,8027
11/21/2019,7643,22514243371,7643
11/22/2019,7297,34242315784,7297
11/23/2019,7398,21008924417,7398
11/24/2019,7048,30433517289,7048
11/25/2019,7146,42685231261,7146
11/26/2019,7218,21129505542,7218
11/27/2019,7532,23991412764,7532
11/28/2019,7463,19050116751,7463
11/29/2019,7761,19709695455,7761
11/30/2019,7570,17158194786,7570
12/1/2019,7424,18720708479,7424
12/2/2019,7322,17082040705,7322
12/3/2019,7320,14797485769,7320
12/4/2019,7252,21664240918,7252
12/5/2019,7448,18816085231,7448
12/6/2019,7547,18104466306,7547
12/7/2019,7556,15453520564,7556
12/8/2019,7564,15409908086,7564
12/9/2019,7401,17872021272,7401
12/10/2019,7278,18249031194,7278
12/11/2019,7217,16350490689,7217
12/12/2019,7243,18927080224,7243
12/13/2019,7270,17125736940,7270
12/14/2019,7125,17137029729,7125
12/15/2019,7152,16881129804,7152
12/16/2019,6932,20213265949,6932
12/17/2019,6641,22363804217,6641
12/18/2019,7277,31836522778,7277
12/19/2019,7203,25904604415,7203
12/20/2019,7219,22633815180,7219
12/21/2019,7191,19312552168,7191
12/22/2019,7512,23134537956,7512
12/23/2019,7356,27831788041,7356
12/24/2019,7323,22991622105,7323
12/25/2019,7275,21559505148,7275
12/26/2019,7239,22787010034,7239
12/27/2019,7290,22777360995,7290
12/28/2019,7318,21365673026,7318
12/29/2019,7423,22445257701,7423
12/30/2019,7293,22874131671,7293
12/31/2019,7194,21167946112,7194
1/1/2020,7200,18565664996,7200
1/2/2020,6985,20802083465,6985
1/3/2020,7345,28111481031,7345
1/4/2020,7411,18444271274,7411
1/5/2020,7411,19725074094,7411
1/6/2020,7769,23276261598,7769
1/7/2020,8164,28767291326,8164
1/8/2020,8080,31672559264,8080
1/9/2020,7879,24045990465,7879
1/10/2020,8167,28714583843,8167
1/11/2020,8038,25521165085,8038
1/12/2020,8192,22903438381,8192
1/13/2020,8144,22482910687,8144
1/14/2020,8828,44841784107,8828
1/15/2020,8807,40102834649,8807
1/16/2020,8724,31313981930,8724
1/17/2020,8929,36372139320,8929
1/18/2020,8943,32337772626,8943
1/19/2020,8706,34217320471,8706
1/20/2020,8658,26422375678,8658
1/21/2020,8746,24097418512,8746
1/22/2020,8681,22600204050,8681
1/23/2020,8407,25770680778,8407
1/24/2020,8445,24397913025,8445
1/25/2020,8368,19647331548,8368
1/26/2020,8597,22177678795,8597
1/27/2020,8910,28647338393,8910
1/28/2020,9359,34398744402,9359
1/29/2020,9317,30682598115,9317
1/30/2020,9509,32378792850,9509
1/31/2020,9351,29432489719,9351
2/1/2020,9393,25922656496,9393
2/2/2020,9344,30835736946,9344
2/3/2020,9294,30934096508,9294
2/4/2020,9181,29893183716,9181
2/5/2020,9613,35222060874,9613
2/6/2020,9730,37628823715,9730
2/7/2020,9796,34522718159,9796
2/8/2020,9865,35172043761,9865
2/9/2020,10117,35807884663,10117
2/10/2020,9857,39386548074,9857
2/11/2020,10208,37648059388,10208
2/12/2020,10326,43444303830,10326
2/13/2020,10214,49356071372,10214
2/14/2020,10312,43338264161,10312
2/15/2020,9889,43865054831,9889
2/16/2020,9934,43374780305,9934
2/17/2020,9690,45998298412,9690
2/18/2020,10142,47271023953,10142
2/19/2020,9633,46992019709,9633
2/20/2020,9608,44925260236,9608
2/21/2020,9686,40930547512,9686
2/22/2020,9663,35838025154,9663
2/23/2020,9925,41185185761,9925
2/24/2020,9650,45080496648,9650
2/25/2020,9342,42515259129,9342
2/26/2020,8821,50420050761,8821
2/27/2020,8784,45470195695,8784
2/28/2020,8672,44605450442,8672
2/29/2020,8600,35792392544,8600
3/1/2020,8562,35349164300,8562
3/2/2020,8870,42857674408,8870
3/3/2020,8788,42386715820,8788
3/4/2020,8755,34746706368,8755
3/5/2020,9079,39698054597,9079
3/6/2020,9123,40826885650,9123
3/7/2020,8910,36216930369,8910
3/8/2020,8108,39973102120,8108
3/9/2020,7924,46936995808,7924
3/10/2020,7910,42213940993,7910
3/11/2020,7911,38682762604,7911
3/12/2020,4971,53980357243,4971
3/13/2020,5564,74156772074,5564
3/14/2020,5200,36154506007,5200
